ProbeId	GeneId	GeneSymbol	GeneAccnum	GeneRefseqid	GeneEnsemblid	GeneName
212412_at	10611	PDLIM5	AV715767	NA	NA	PDZ and LIM domain 5
212413_at	23157	Septin 6	D50918	NA	NA	septin 6
212414_s_at	NA	NA	D50918	NA	NA	NA
212415_at	23157	Septin 6	AW150913	NA	NA	septin 6
212416_at	9522	SCAMP1	AV745949	NA	NA	secretory carrier membrane protein 1
212417_at	9522	SCAMP1	BF058944	NA	NA	secretory carrier membrane protein 1
212418_at	1997	ELF1	M82882	NM_172373	NA	E74-like factor 1 (ets domain transcription factor)
212419_at	219654	C10orf56	AA131324	NM_153367	NA	chromosome 10 open reading frame 56
212420_at	1997	ELF1	AL559590	NM_172373	NA	E74-like factor 1 (ets domain transcription factor)
212421_at	23313	C22orf9	AB023147	NA	NA	chromosome 22 open reading frame 9
212422_at	22984	PDCD11	AL547263	NM_014976	NA	programmed cell death 11
212423_at	219654	C10orf56	AK024784	NM_153367	NA	chromosome 10 open reading frame 56
212424_at	22984	PDCD11	AW026194	NM_014976	NA	programmed cell death 11
212425_at	9522	SCAMP1	AL049223	NA	NA	Secretory carrier membrane protein 1
212426_s_at	10971	YWHAQ	BF033313	NM_006826	NA	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
212427_at	23392	KIAA0368	AB002366	XM_036708	NA	KIAA0368
212428_at	23392	KIAA0368	AW001101	XM_036708	NA	KIAA0368
212429_s_at	2976	GTF3C2	AW194657	NM_001521	NA	general transcription factor IIIC, polypeptide 2, beta 110kDa
212430_at	55544	RNPC1	AL109955	NA	NA	NA
212431_at	22993	KIAA0194	D83778	NA	NA	KIAA0194 protein
212432_at	80273	GRPEL1	AL542571	NM_025196	NA	GrpE-like 1, mitochondrial (E. coli)
212433_x_at	6187	RPS2	AA630314	NM_002952	NA	ribosomal protein S2
212434_at	80273	GRPEL1	AI984421	NM_025196	NA	GrpE-like 1, mitochondrial (E. coli)
212435_at	51592	TRIM33	AA205593	NA	NA	tripartite motif-containing 33
212436_at	51592	TRIM33	AI967961	NA	NA	tripartite motif-containing 33
212437_at	1059	CENPB	AL109804	NM_001810	NA	centromere protein B, 80kDa
212438_at	11017	RY1	BG252325	NM_006857	NA	putative nucleic acid binding protein RY-1
212439_at	9807	IHPK1	BE614199	NA	NA	inositol hexaphosphate kinase 1
212440_at	11017	RY1	X76302	NM_006857	NA	putative nucleic acid binding protein RY-1
212441_at	9778	KIAA0232	D86985	NM_014743	NA	KIAA0232 gene product
212442_s_at	253782	LASS6	BG289001	NM_203463	NA	LAG1 longevity assurance homolog 6 (S. cerevisiae)
212443_at	23218	NBEAL2	AB011112	XM_291064	NA	neurobeachin-like 2
212444_at	9052	GPCR5A	AA156240	NM_003979	NA	G protein-coupled receptor, family C, group 5, member A
212445_s_at	23327	NEDD4L	AI357376	NM_015277	NA	neural precursor cell expressed, developmentally down-regulated 4-like
212446_s_at	253782	LASS6	AI658534	NM_203463	NA	LAG1 longevity assurance homolog 6 (S. cerevisiae)
212447_at	25948	KBTBD2	AF161402	NM_015483	NA	kelch repeat and BTB (POZ) domain containing 2
212448_at	23327	NEDD4L	AB007899	NM_015277	NA	neural precursor cell expressed, developmentally down-regulated 4-like
212449_s_at	10434	LYPLA1	BG288007	NM_006330	NA	lysophospholipase I
212450_at	9728	KIAA0256	D87445	NM_014701	NA	KIAA0256 gene product
212451_at	9728	KIAA0256	N52532	NM_014701	NA	KIAA0256 gene product
212452_x_at	23522	MYST4	AF113514	NM_012330	NA	MYST histone acetyltransferase (monocytic leukemia) 4
212453_at	26128	KIAA1279	AB033105	NM_015634	NA	KIAA1279
212454_x_at	9987	HNRPDL	AI762552	NA	NA	Heterogeneous nuclear ribonucleoprotein D-like
212455_at	91746	YT521	N36997	NA	NA	splicing factor YT521-B
212456_at	23277	KIAA0664	AB014564	NM_015229	NA	KIAA0664 protein
212457_at	7030	TFE3	AL161985	NM_006521	NA	transcription factor binding to IGHM enhancer 3
212458_at	200734	SPRED2	H97931	NM_181784	NA	sprouty-related, EVH1 domain containing 2
212459_x_at	8801	SUCLG2	BF593940	NM_003848	NA	succinate-CoA ligase, GDP-forming, beta subunit
212460_at	171546	C14orf147	BE738425	NM_138288	NA	chromosome 14 open reading frame 147
212461_at	51582	AZIN1	BF793951	NA	NA	antizyme inhibitor 1
212462_at	23522	MYST4	AU144267	NM_012330	NA	MYST histone acetyltransferase (monocytic leukemia) 4
212463_at	966	CD59	BE379006	NA	NA	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)
212464_s_at	2335	FN1	X02761	NA	NA	fibronectin 1
212465_at	84193	C14orf154	AA524500	NA	NA	chromosome 14 open reading frame 154
212466_at	200734	SPRED2	AW138902	NM_181784	NA	sprouty-related, EVH1 domain containing 2
212467_at	23317	DNAJC13	AB014578	NM_015268	NA	DnaJ (Hsp40) homolog, subfamily C, member 13
212468_at	9043	SPAG9	AK023512	NA	NA	sperm associated antigen 9
212469_at	25836	NIPBL	AB019494	NA	NA	Nipped-B homolog (Drosophila)
212470_at	9043	SPAG9	AB011088	NA	NA	sperm associated antigen 9
212471_at	23080	KIAA0241	BE503381	NM_015060	NA	KIAA0241 protein
212472_at	9645	MICAL2	BE965029	NM_014632	NA	microtubule associated monoxygenase, calponin and LIM domain containing 2
212473_s_at	9645	MICAL2	BE965029	NM_014632	NA	microtubule associated monoxygenase, calponin and LIM domain containing 2
212474_at	23080	KIAA0241	D87682	NM_015060	NA	KIAA0241 protein
212475_at	23080	KIAA0241	AI797458	NM_015060	NA	KIAA0241 protein
212476_at	23527	CENTB2	D26069	NM_012287	NA	centaurin, beta 2
212477_at	23527	CENTB2	D26069	NM_012287	NA	centaurin, beta 2
212478_at	64795	FLJ13910	H65865	NM_022780	NA	hypothetical protein FLJ13910
212479_s_at	64795	FLJ13910	AK022815	NM_022780	NA	hypothetical protein FLJ13910
212480_at	23384	KIAA0376	AB002374	NM_015330	NA	KIAA0376 protein
212481_s_at	7171	TPM4	AI214061	NM_003290	NA	tropomyosin 4
212482_at	64795	FLJ13910	BF671894	NM_022780	NA	hypothetical protein FLJ13910
212483_at	25836	NIPBL	AW339587	NA	NA	Nipped-B homolog (Drosophila)
212484_at	23625	FAM89B	BF974389	NM_152832	NA	family with sequence similarity 89, member B
212485_at	23131	KIAA0553	AU146596	NM_001002909	NA	KIAA0553 protein
212486_s_at	2534	FYN	N20923	NA	NA	FYN oncogene related to SRC, FGR, YES
212487_at	23131	KIAA0553	AI673812	NM_001002909	NA	KIAA0553 protein
212488_at	1289	COL5A1	N30339	NM_000093	NA	collagen, type V, alpha 1
212489_at	1289	COL5A1	AI983428	NM_000093	NA	collagen, type V, alpha 1
212490_at	22826	DNAJC8	AA843895	NM_014280	NA	DnaJ (Hsp40) homolog, subfamily C, member 8
212491_s_at	22826	DNAJC8	AA843895	NM_014280	NA	DnaJ (Hsp40) homolog, subfamily C, member 8
212492_s_at	23030	JMJD2B	AW237172	NM_015015	NA	jumonji domain containing 2B
212493_s_at	29072	HYPB	AI761110	NA	NA	huntingtin interacting protein B
212494_at	23371	TENC1	AB028998	NA	NA	tensin like C1 domain containing phosphatase (tensin 2)
212495_at	23030	JMJD2B	BE256900	NM_015015	NA	jumonji domain containing 2B
212496_s_at	23030	JMJD2B	BE256900	NM_015015	NA	jumonji domain containing 2B
212497_at	93487	C14orf32	AI554879	NM_144578	NA	chromosome 14 open reading frame 32
212498_at	NA	NA	AF056433	NA	NA	Full-length cDNA clone CS0DM001YA04 of Fetal liver of Homo sapiens (human)
212499_s_at	NA	NA	AK025580	NA	NA	NA
212500_at	84890	C10orf22	AL049319	NM_032804	NA	chromosome 10 open reading frame 22
212501_at	1051	CEBPB	AL564683	NM_005194	NA	CCAAT/enhancer binding protein (C/EBP), beta
212502_at	84890	C10orf22	AV713053	NM_032804	NA	chromosome 10 open reading frame 22
212503_s_at	22982	KIAA0934	N22859	NM_014974	NA	KIAA0934
212504_at	22982	KIAA0934	N31807	NM_014974	NA	KIAA0934
212505_s_at	23383	KIAA0892	AL110250	NM_015329	NA	KIAA0892
212506_at	8301	PICALM	AL135735	NA	NA	phosphatidylinositol binding clathrin assembly protein
212507_at	23505	RW1	D87446	XM_371542	NA	RW1 protein
212508_at	64112	MOAP1	AK024029	NM_022151	NA	modulator of apoptosis 1
212509_s_at	439921	MXRA7	BF968134	NA	NA	matrix-remodelling associated 7
212510_at	23171	GPD1L	AA135522	NM_015141	NA	glycerol-3-phosphate dehydrogenase 1-like
212511_at	8301	PICALM	AI766247	NA	NA	phosphatidylinositol binding clathrin assembly protein
212512_s_at	10498	CARM1	AA551784	NM_199141	NA	coactivator-associated arginine methyltransferase 1
212513_s_at	23032	USP33	AB029020	NA	NA	ubiquitin specific peptidase 33
212514_x_at	1654	DDX3X	R60068	NA	NA	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked
212515_s_at	1654	DDX3X	BG492602	NA	NA	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked
212516_at	116985	CENTD2	AB018325	NA	NA	centaurin, delta 2
212517_at	8455	ATRN	AL132773	NA	NA	attractin
212518_at	23396	PIP5K1C	AB011161	NM_012398	NA	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma
212519_at	7324	UBE2E1	AL518159	NA	NA	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)
212520_s_at	6597	SMARCA4	AI684141	NM_003072	NA	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
212521_s_at	5151	PDE8A	BE568219	NA	NA	phosphodiesterase 8A
212522_at	5151	PDE8A	W73272	NA	NA	phosphodiesterase 8A
212523_s_at	23514	KIAA0146	D63480	XM_291253	NA	KIAA0146 protein
212524_x_at	3014	H2AFX	BE901081	NM_002105	NA	H2A histone family, member X
212525_s_at	3014	H2AFX	AA760862	NM_002105	NA	H2A histone family, member X
212526_at	23111	SPG20	AK002207	NM_015087	NA	spastic paraplegia 20, spartin (Troyer syndrome)
212527_at	27351	D15Wsu75e	BF057059	NM_015704	NA	DNA segment, Chr 15, Wayne State University 75, expressed
212528_at	NA	NA	AI348009	NA	NA	Homo sapiens, clone IMAGE:3605655, mRNA
212529_at	124801	FLJ30656	BF197707	NM_152344	NA	hypothetical protein FLJ30656
212530_at	140609	NEK7	AL080111	NM_133494	NA	NIMA (never in mitosis gene a)-related kinase 7
212531_at	3934	LCN2	NM_005564	NM_005564	NA	lipocalin 2 (oncogene 24p3)
212532_s_at	124801	FLJ30656	AW873564	NM_152344	NA	hypothetical protein FLJ30656
212533_at	7465	WEE1	X62048	NM_003390	NA	WEE1 homolog (S. pombe)
212534_at	7572	ZNF24	AU144066	NM_006965	NA	Zinc finger protein 24 (KOX 17)
212535_at	4205	MEF2A	AA142929	NM_005587	NA	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)
212536_at	23200	ATP11B	AB023173	NM_014616	NA	ATPase, Class VI, type 11B
212537_x_at	6139	RPL17	BE733979	NA	NA	ribosomal protein L17
212538_at	23348	DOCK9	AL576253	NM_015296	NA	dedicator of cytokinesis 9
212539_at	9557	CHD1L	AI422099	NM_004284	NA	chromodomain helicase DNA binding protein 1-like
212540_at	997	CDC34	BG476661	NM_004359	NA	cell division cycle 34
212541_at	80308	FLAD1	AL562282	NA	NA	Fad1, flavin adenine dinucleotide synthetase, homolog (yeast)
212542_s_at	55023	PHIP	BF224151	NM_017934	NA	pleckstrin homology domain interacting protein
212543_at	202	AIM1	U83115	NM_001624	NA	absent in melanoma 1
212544_at	9326	ZNHIT3	AI131008	NA	NA	zinc finger, HIT type 3
212545_s_at	23051	ZHX3	AW292783	NM_015035	NA	zinc fingers and homeoboxes 3
212546_s_at	23045	KIAA0826	AI126634	XM_093839	NA	KIAA0826
212547_at	NA	NA	N34842	NA	NA	NA
212548_s_at	23045	KIAA0826	BF515124	XM_093839	NA	KIAA0826
212549_at	6777	STAT5B	BE645861	NM_012448	NA	signal transducer and activator of transcription 5B
212550_at	6777	STAT5B	AI149535	NM_012448	NA	signal transducer and activator of transcription 5B
212551_at	10486	CAP2	NM_006366	NM_006366	NA	CAP, adenylate cyclase-associated protein, 2 (yeast)
212552_at	3241	HPCAL1	BE617588	NA	NA	hippocalcin-like 1
212553_at	23248	KIAA0460	AK026120	NM_015203	NA	KIAA0460
212554_at	10486	CAP2	N90755	NM_006366	NA	CAP, adenylate cyclase-associated protein, 2 (yeast)
212555_at	5575	PRKAR1B	AI814660	NM_002735	NA	protein kinase, cAMP-dependent, regulatory, type I, beta
212556_at	23513	SCRIB	AI469403	NA	NA	scribbled homolog (Drosophila)
212557_at	26036	ZNF451	AB011148	NA	NA	zinc finger protein 451
212558_at	10252	SPRY1	BF508662	NA	NA	sprouty homolog 1, antagonist of FGF signaling (Drosophila)
212559_at	5575	PRKAR1B	AU148827	NM_002735	NA	protein kinase, cAMP-dependent, regulatory, type I, beta
212560_at	442871	C11orf32	AV728268	NA	NA	chromosome 11 open reading frame 32
212561_at	23258	RAB6IP1	AA349595	NM_015213	NA	RAB6 interacting protein 1
212562_s_at	1522	CTSZ	AA418800	NM_001336	NA	Cathepsin Z
212563_at	23246	BOP1	BG491842	NM_015201	NA	block of proliferation 1
212564_at	23510	KCTD2	AA523921	NM_015353	NA	potassium channel tetramerisation domain containing 2
212565_at	23012	STK38L	BE302191	NM_015000	NA	serine/threonine kinase 38 like
212566_at	4134	MAP4	AL523310	NA	NA	microtubule-associated protein 4
212567_s_at	4134	MAP4	AL523310	NA	NA	microtubule-associated protein 4
212568_s_at	1737	DLAT	BF978872	NM_001931	NA	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
212569_at	23347	SMCHD1	AV699744	XM_113962	NA	structural maintenance of chromosomes flexible hinge domain containing 1
212570_at	23052	KIAA0830	AL573201	XM_290546	NA	KIAA0830 protein
212571_at	57680	CHD8	U00955	NM_020920	NA	chromodomain helicase DNA binding protein 8
212572_at	23012	STK38L	AW779556	NM_015000	NA	serine/threonine kinase 38 like
212573_at	23052	KIAA0830	AF131747	XM_290546	NA	KIAA0830 protein
212574_x_at	91304	C19orf6	AC004528	NA	NA	chromosome 19 open reading frame 6
212575_at	91304	C19orf6	BF966155	NA	NA	chromosome 19 open reading frame 6
212576_at	23295	MGRN1	AB011116	NM_015246	NA	mahogunin, ring finger 1
212577_at	23347	SMCHD1	AA868754	XM_113962	NA	structural maintenance of chromosomes flexible hinge domain containing 1
212578_x_at	6218	RPS17	BF026595	NM_001021	NA	ribosomal protein S17
212579_at	23347	SMCHD1	AB014550	XM_113962	NA	structural maintenance of chromosomes flexible hinge domain containing 1
212580_at	51752	ARTS-1	BG111635	NM_016442	NA	Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator
212581_x_at	2597	GAPDH	BE561479	NM_002046	NA	glyceraldehyde-3-phosphate dehydrogenase
212582_at	114882	OSBPL8	AL049923	NA	NA	oxysterol binding protein-like 8
212583_at	9716	AQR	AB011132	NM_014691	NA	aquarius homolog (mouse)
212584_at	9716	AQR	BG260519	NM_014691	NA	aquarius homolog (mouse)
212585_at	114882	OSBPL8	BF970829	NA	NA	oxysterol binding protein-like 8
212586_at	831	CAST	AA195244	NA	NA	calpastatin
212587_s_at	5788	PTPRC	AI809341	NA	NA	protein tyrosine phosphatase, receptor type, C
212588_at	5788	PTPRC	Y00062	NA	NA	protein tyrosine phosphatase, receptor type, C
212589_at	6342	SCP2	AI753792	NA	NA	Sterol carrier protein 2
212590_at	22800	RRAS2	AI431643	NM_012250	NA	related RAS viral (r-ras) oncogene homolog 2
212591_at	23029	RBM34	AA887480	NM_015014	NA	RNA binding motif protein 34
212592_at	3512	IGJ	AV733266	NM_144646	NA	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides
212593_s_at	27250	PDCD4	N92498	NA	NA	programmed cell death 4 (neoplastic transformation inhibitor)
212594_at	27250	PDCD4	AI185160	NA	NA	programmed cell death 4 (neoplastic transformation inhibitor)
212595_s_at	9802	DAZAP2	AL534321	NM_014764	NA	DAZ associated protein 2
212596_s_at	10042	HMG2L1	AJ010070	NA	NA	high-mobility group protein 2-like 1
212597_s_at	10042	HMG2L1	AL079310	NA	NA	high-mobility group protein 2-like 1
212598_at	23001	WDFY3	BE348236	NA	NA	WD repeat and FYVE domain containing 3
212599_at	26053	AUTS2	AK025298	NM_015570	NA	autism susceptibility candidate 2
212600_s_at	7385	UQCRC2	AV727381	NM_003366	NA	ubiquinol-cytochrome c reductase core protein II
212601_at	23140	ZZEF1	AB007859	NM_015113	NA	zinc finger, ZZ-type with EF-hand domain 1
212602_at	23001	WDFY3	AI806395	NA	NA	WD repeat and FYVE domain containing 3
212603_at	10240	MRPS31	NM_005830	NM_005830	NA	mitochondrial ribosomal protein S31
212604_at	10240	MRPS31	AI937794	NM_005830	NA	mitochondrial ribosomal protein S31
212605_s_at	11165	NUDT3	AK025759	NM_006703	NA	Nudix (nucleoside diphosphate linked moiety X)-type motif 3
212606_at	23001	WDFY3	AL536319	NA	NA	WD repeat and FYVE domain containing 3
212607_at	10000	AKT3	N32526	NA	NA	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
212608_s_at	11165	NUDT3	W85912	NM_006703	NA	Nudix (nucleoside diphosphate linked moiety X)-type motif 3
212609_s_at	10000	AKT3	U79271	NA	NA	Serologically defined colon cancer antigen 8
212610_at	5781	PTPN11	U79291	NM_002834	NA	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)
212611_at	23220	DTX4	AV728526	XM_166213	NA	deltex 4 homolog (Drosophila)
212612_at	23186	RCOR1	D31888	NM_015156	NA	REST corepressor 1
212613_at	11118	BTN3A2	AI991252	NM_007047	NA	butyrophilin, subfamily 3, member A2
212614_at	84159	ARID5B	BG285011	NM_032199	NA	AT rich interactive domain 5B (MRF1-like)
212615_at	80205	CHD9	AI742305	NA	NA	chromodomain helicase DNA binding protein 9
212616_at	80205	CHD9	BF668950	NA	NA	chromodomain helicase DNA binding protein 9
212617_at	23060	ZNF609	AB002293	NM_015042	NA	zinc finger protein 609
212618_at	23060	ZNF609	AA913513	NM_015042	NA	zinc finger protein 609
212619_at	23306	KIAA0286	AW205215	NM_015257	NA	KIAA0286 protein
212620_at	23060	ZNF609	AW165979	NM_015042	NA	zinc finger protein 609
212621_at	23306	KIAA0286	AB006624	NM_015257	NA	KIAA0286 protein
212622_at	440026	TMEM41B	N64760	NM_015012	NA	transmembrane protein 41B
212623_at	440026	TMEM41B	AU153138	NM_015012	NA	transmembrane protein 41B
212624_s_at	1123	CHN1	BF339445	NA	NA	chimerin (chimaerin) 1
212625_at	8677	STX10	NM_003765	NM_003765	NA	syntaxin 10
212626_x_at	3183	HNRPC	AA664258	NA	NA	heterogeneous nuclear ribonucleoprotein C (C1/C2)
212627_s_at	23016	EXOSC7	AL581473	NM_015004	NA	exosome component 7
212628_at	5586	PKN2	BG292065	NM_006256	NA	Protein kinase N2
212629_s_at	5586	PKN2	AI633689	NM_006256	NA	protein kinase N2
212630_at	11336	SEC6L1	AF055006	NM_007277	NA	SEC6-like 1 (S. cerevisiae)
212631_at	8417	STX7	AI566082	NM_003569	NA	Syntaxin 7
212632_at	8417	STX7	N32035	NM_003569	NA	Syntaxin 7
212633_at	23376	KIAA0776	AL132776	NM_015323	NA	KIAA0776
212634_at	23376	KIAA0776	AW298092	NM_015323	NA	KIAA0776
212635_at	3842	TNPO1	AW161626	NA	NA	Transportin 1
212636_at	9444	QKI	AL031781	NA	NA	quaking homolog, KH domain RNA binding (mouse)
212637_s_at	11059	WWP1	AU155187	NM_007013	NA	WW domain containing E3 ubiquitin protein ligase 1
212638_s_at	11059	WWP1	BF131791	NM_007013	NA	WW domain containing E3 ubiquitin protein ligase 1
212639_x_at	10376	K-ALPHA-1	AL581768	NM_006082	NA	tubulin, alpha, ubiquitous
212640_at	201562	PTPLB	AV712602	NM_198402	NA	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
212641_at	3097	HIVEP2	AL023584	NM_006734	NA	human immunodeficiency virus type I enhancer binding protein 2
212642_s_at	3097	HIVEP2	AL023584	NM_006734	NA	human immunodeficiency virus type I enhancer binding protein 2
212643_at	93487	C14orf32	AI671747	NM_144578	NA	chromosome 14 open reading frame 32
212644_s_at	93487	C14orf32	AI671747	NM_144578	NA	chromosome 14 open reading frame 32
212645_x_at	9577	BRE	AL566299	NA	NA	brain and reproductive organ-expressed (TNFRSF1A modulator)
212646_at	23180	RAFTLIN	D42043	NM_015150	NA	raft-linking protein
212647_at	6237	RRAS	NM_006270	NM_006270	NA	related RAS viral (r-ras) oncogene homolog
212648_at	54505	DHX29	AL079292	NM_019030	NA	DEAH (Asp-Glu-Ala-His) box polypeptide 29
212649_at	NA	NA	AL079292	NA	NA	NA
212650_at	23301	EHBP1	BF116032	NM_015252	NA	EH domain binding protein 1
212651_at	9886	RHOBTB1	AB018283	NA	NA	Rho-related BTB domain containing 1
212652_s_at	8723	SNX4	AA524345	NM_003794	NA	sorting nexin 4
212653_s_at	23301	EHBP1	AB020710	NM_015252	NA	EH domain binding protein 1
212654_at	7169	TPM2	AL566786	NA	NA	tropomyosin 2 (beta)
212655_at	23174	ZCCHC14	AB011151	NM_015144	NA	zinc finger, CCHC domain containing 14
212656_at	10102	TSFM	AF110399	NM_005726	NA	Ts translation elongation factor, mitochondrial
212657_s_at	3557	IL1RN	U65590	NA	NA	interleukin 1 receptor antagonist
212658_at	10184	LHFPL2	N66633	NM_005779	NA	lipoma HMGIC fusion partner-like 2
212659_s_at	3557	IL1RN	AW083357	NA	NA	interleukin 1 receptor antagonist
212660_at	23338	PHF15	AI735639	NM_015288	NA	PHD finger protein 15
212661_x_at	5478	PPIA	BE731738	NA	NA	peptidylprolyl isomerase A (cyclophilin A)
212662_at	5817	PVR	BE615277	NM_006505	NA	poliovirus receptor
212663_at	23307	KIAA0674	AB014574	XM_376903	NA	KIAA0674
212664_at	10382	TUBB4	AL567012	NM_006087	NA	tubulin, beta 4
212665_at	25976	TIPARP	AL556438	NM_015508	NA	TCDD-inducible poly(ADP-ribose) polymerase
212666_at	57154	SMURF1	AB046845	NA	NA	SMAD specific E3 ubiquitin protein ligase 1
212667_at	6678	SPARC	AL575922	NM_003118	NA	secreted protein, acidic, cysteine-rich (osteonectin)
212668_at	57154	SMURF1	AI654869	NA	NA	SMAD specific E3 ubiquitin protein ligase 1
212669_at	818	CAMK2G	AI093569	NA	NA	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
212670_at	2006	ELN	AA479278	NM_000501	NA	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)
212671_s_at	NA	NA	BG397856	NA	NA	NA
212672_at	472	ATM	U82828	NA	NA	ataxia telangiectasia mutated (includes complementation groups A, C and D)
212673_at	23173	METAP1	D42084	NM_015143	NA	methionyl aminopeptidase 1
212674_s_at	22907	DHX30	AK002076	NA	NA	DEAH (Asp-Glu-Ala-His) box polypeptide 30
212675_s_at	23177	KIAA0582	AB011154	NM_015147	NA	KIAA0582
212676_at	4763	NF1	AW293356	NM_000267	NA	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)
212677_s_at	23177	KIAA0582	BG530481	NM_015147	NA	KIAA0582
212678_at	4763	NF1	AW054826	NM_000267	NA	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)
212679_at	26608	TBL2	AK026529	NA	NA	transducin (beta)-like 2
212680_x_at	26472	PPP1R14B	BE305165	NM_138689	NA	protein phosphatase 1, regulatory (inhibitor) subunit 14B
212681_at	23136	EPB41L3	AI770004	NM_012307	NA	erythrocyte membrane protein band 4.1-like 3
212682_s_at	91289	BC002942	AI081535	NM_033200	NA	hypothetical protein BC002942
212683_at	9673	KIAA0446	AL526243	NM_014655	NA	KIAA0446 gene product
212684_at	7551	ZNF3	AI752257	NA	NA	zinc finger protein 3 (A8-51)
212685_s_at	26608	TBL2	AI608789	NA	NA	transducin (beta)-like 2
212686_at	57460	PPM1H	AB032983	XM_350880	NA	protein phosphatase 1H (PP2C domain containing)
212687_at	3987	LIMS1	AL110164	NM_004987	NA	LIM and senescent cell antigen-like domains 1
212688_at	5291	PIK3CB	BC003393	NM_006219	NA	phosphoinositide-3-kinase, catalytic, beta polypeptide
212689_s_at	55818	JMJD1A	AA524505	NM_018433	NA	jumonji domain containing 1A
212690_at	23259	DDHD2	AB018268	NM_015214	NA	DDHD domain containing 2
212691_at	23511	NUP188	AW131863	NM_015354	NA	nucleoporin 188kDa
212692_s_at	987	LRBA	W60686	NM_006726	NA	LPS-responsive vesicle trafficking, beach and anchor containing
212693_at	23195	MDN1	BE670928	NM_014611	NA	MDN1, midasin homolog (yeast)
212694_s_at	5096	PCCB	NM_000532	NM_000532	NA	propionyl Coenzyme A carboxylase, beta polypeptide
212695_at	1408	CRY2	AB014558	NM_021117	NA	cryptochrome 2 (photolyase-like)
212696_s_at	6047	RNF4	BF968633	NM_002938	NA	ring finger protein 4
212697_at	162427	LOC162427	AL515874	NM_178126	NA	hypothetical protein LOC162427
212698_s_at	151011	Septin 10	BF966021	NA	NA	septin 10
212699_at	192683	SCAMP5	BE222801	NM_138967	NA	secretory carrier membrane protein 5
212700_x_at	NA	NA	AJ002220	NA	NA	NA
212701_at	83660	TLN2	AB002318	NM_015059	NA	Talin 2
212702_s_at	23299	BICD2	N45111	NA	NA	bicaudal D homolog 2 (Drosophila)
212703_at	83660	TLN2	AV728958	NM_015059	NA	talin 2
212704_at	23318	ZCCHC11	AI049962	NA	NA	zinc finger, CCHC domain containing 11
212705_x_at	57104	PNPLA2	BF570210	NM_020376	NA	patatin-like phospholipase domain containing 2
212706_at	NA	NA	AB011110	NA	NA	NA
212707_s_at	NA	NA	AI738591	NA	NA	NA
212708_at	339287	LOC339287	AV721987	XM_496217	NA	hypothetical protein LOC339287
212709_at	23279	NUP160	D83781	NM_015231	NA	nucleoporin 160kDa
212710_at	157922	CAMSAP1	AL043774	NM_015447	NA	calmodulin regulated spectrin-associated protein 1
212711_at	157922	CAMSAP1	AA019977	NM_015447	NA	calmodulin regulated spectrin-associated protein 1
212712_at	157922	CAMSAP1	BE222901	NM_015447	NA	calmodulin regulated spectrin-associated protein 1
212713_at	4239	MFAP4	R72286	NM_002404	NA	microfibrillar-associated protein 4
212714_at	113251	LARP4	AL050205	NA	NA	La ribonucleoprotein domain family, member 4
212715_s_at	57553	MICAL3	AB020626	NA	NA	microtubule associated monoxygenase, calponin and LIM domain containing 3
212716_s_at	27335	EIF3S12	AW083133	NM_013234	NA	eukaryotic translation initiation factor 3, subunit 12
212717_at	9842	PLEKHM1	AB002354	NM_014798	NA	pleckstrin homology domain containing, family M (with RUN domain) member 1
212718_at	10914	PAPOLA	BF797555	NM_032632	NA	poly(A) polymerase alpha
212719_at	23239	PHLPP	AB011178	NM_194449	NA	PH domain and leucine rich repeat protein phosphatase
212720_at	10914	PAPOLA	AI670847	NM_032632	NA	poly(A) polymerase alpha
212721_at	140890	SFRS12	AI810380	NM_139168	NA	splicing factor, arginine/serine-rich 12
212722_s_at	23210	PTDSR	AK021780	NM_015167	NA	phosphatidylserine receptor
212723_at	23210	PTDSR	AK021780	NM_015167	NA	phosphatidylserine receptor
212724_at	390	RND3	BG054844	NM_005168	NA	Rho family GTPase 3
212725_s_at	NA	NA	N37081	NR_002323	NA	NA
212726_at	5253	PHF2	AB014562	NA	NA	PHD finger protein 2
212727_at	1741	DLG3	AB033058	NM_021120	NA	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)
